,,,,,,
,,,,,,
,,,,,,
Traoré Cheick,Def. Lat.,Guingamp,"4,5",0,8,42 %
,,,,,,
Guillaume Baptiste,Attaquant,Nîmes,"4,5",2,8,39 %
,,,,,,
Guirassy Serhou,Attaquant,Amiens,"5,2",3,8,34 %
,,,,,,
N'Doye Cheikh,Mil. Def.,Angers,"4,9",0,8,68 %
,,,,,,
Khaoui Saif-Eddine,Mil. Off,Caen,"4,6",3,8,45 %
,,,,,,
Paquiez Gaetan,Def. Lat.,Nîmes,"4,6",0,8,37 %
,,,,,,
Kamara Hassane,Mil. Def.,Reims,"5,1",0,8,24 %
,,,,,,
Suárez Mathías,Def. Lat.,Montpellier,"4,6",0,8,18 %
,,,,,,
Aholou Jean Eudes,Mil. Def.,Monaco,5,0,8,32 %
,,,,,,
Manu García,Mil. Off,Toulouse,"4,8",0,8,55 %
,,,,,,
Pellenard Théo,Def. Lat.,Angers,"4,6",0,8,16 %
,,,,,,
Zeneli Arbër,Attaquant,Reims,"4,8",3,8,21 %
,,,,,,
Henrichs Benjamin,Def. Lat.,Monaco,"4,7",1,8,55 %
,,,,,,
Oyongo Ambroise,Def. Lat.,Montpellier,"4,9",2,8,66 %
,,,,,,
Mendy Alexandre,Attaquant,Guingamp,"4,6",3,8,21 %
,,,,,,
Mbemba Nolan,Mil. Def.,Reims,"4,7",0,8,11 %
,,,,,,
Maja Josh,Attaquant,Bordeaux,"4,6",1,8,8 %
,,,,,,
Radonjic Nemanja,Mil. Off,Marseille,"4,2",0,8,18 %
,,,,,,
Coco Marcus,Mil. Off,Guingamp,"4,6",1,8,55 %
,,,,,,
Aguerd Nayef,Def. Cen.,Dijon,"4,7",3,8,32 %
,,,,,,
Mance Antonio,Attaquant,Nantes,"4,4",0,8,0 %
,,,,,,
Gelin Jeremy,Def. Cen.,Rennes,"4,8",0,8,32 %
,,,,,,
Jules Keita,Attaquant,Dijon,"4,4",2,8,5 %
,,,,,,
Del Castillo Romain,Mil. Off,Rennes,"4,8",0,8,39 %
,,,,,,
